"cov","dr","ds","t","lspos","text"
"OO",  627.3, 671,"Nt","B","L"
"CO",   29.0, 322,"Nt","B","L"
"CN",  365.9, 465,"Nt","A","L'"
"NN",  740.5, 700,"Nt","A","L'"
"NN",  920.6, 767,"Nt","B","L"
"CO",  516.9,1037,"Nt","A","L'"
"CC",   90.0, 160,"Nt","B","L"
"CO",  212.0, 511,"Nt","B","L"
"CO",  624.4,1484,"Nt","C","LC"
"CN",  691.2,1066,"Nt","A","LC"
"CN",  151.0,1089,"Nt","C","LC"
"CN",  630.2,1208,"Nt","F","LC"
"CN",  334.0, 883,"Nt","C","LC"
"CC", 1292.3,1330,"Nt","C","LC"
"NN",  412.4,1455,"Nt","C","LC"
"CC",  546.0,1167,"Nt","C","LC"
"CN",  792.8, 401,"Nt","C","LC"
"CN",    0.0, 195,"Nt","C","LC"
"CC",  952.5, 848,"Nt","A","L'"
"CO",  290.4,1806,"Nt","A","L"
"ON",  624.4,2454,"Nt","A","L"
"CO", 1481.0,1481,"Nt","A","L'"
"NO",  525.6, 523,"Nt","A","L'"
"NN",   98.7, 453,"Nt","A","L'"
"CO",  630.2, 831,"Nt","A","L"
"CC",  604.0, 279,"Nt","A","L"
"CN", 1028.0,2071,"CA","B","L'"
"CO",  113.3,2291,"CA","A","L'"
"OC",  923.5,2503,"CA","A","L'"
"OC",  476.3,1530,"CA","B","L"
"CN",  345.6,1034,"CA","B","L"
"OO", 1240.0,1234,"Nt","B","L"
"CO", 1559.4,1623,"Nt","B","L"
"NC",  673.7, 967,"Nt","B","L"
"CC",  273.0, 804,"Nt","B","L"
"CN",   40.7, 775,"Nt","A","L'"
"NN",  592.4, 694,"Nt","B","L"
"CN",  577.9,1217,"Nt","B","L"
"CO",  319.4, 775,"Nt","B","L"
"CC",  633.1, 883,"Nt","B","L"
"CC",   78.4, 238,"Nt","B","L"
"CC",  243.9,1115,"Nt","B","L"
"CO",  624.4,1214,"Nt","B","L"
"CO", 1193.5,1522,"Nt","A","L'"
"NN",  226.5, 932,"Nt","A","L'"
"CN",  656.3, 874,"Nt","A","L'"
